attrInteger,attrInteger,attrInteger,attrInteger
589538,645,58953800,589539
324516,195,32451600,324517
1444309,312,144430900,1444310
1859082,811,185908200,1859083
1138993,569,113899300,1138994
504525,902,50452500,504526
361685,246,36168500,361686
66742,514,6674200,66743
762521,982,76252100,762522
1364607,701,136460700,1364608
1433687,508,143368700,1433688
1618169,317,161816900,1618159
889769,75,88976900,889770
151959,537,15195900,151960
1737910,578,173791000,1737911
1713300,913,171330000,1713301
1632676,27,163267600,1632677
592933,55,59293300,592934
684949,957,68494900,684939
1617978,382,161797800,1617979
307730,342,30773000,307731
516552,539,51655200,516553
1838532,412,183853200,1838533
350601,743,35060100,350602
479545,22,47954500,479546
560623,625,56062300,560624
505531,109,50553100,505532
1695070,787,169507000,1695071
350529,378,35052900,350530
1876319,141,187631900,1876320
605847,741,60584700,605848
341496,569,34149600,341497
1881424,351,188142400,1881425
1228094,384,122809400,1228095
667815,609,66781500,667816
434001,842,43400100,434002
1373001,493,137300100,1373002
1345559,518,134555900,1345560
1208016,825,120801600,1208017
1619427,976,161942700,1619428
39239,732,3923900,39240
191824,399,19182400,191825
202616,34,20261600,202617
1720493,284,172049300,1720494
1502579,166,150257900,1502580
1500724,508,150072400,1500725
1561501,98,156150100,1561502
573752,747,57375200,573753
69723,514,6972300,69724
308734,556,30873400,308735
1904251,689,190425100,1904252
1575649,548,157564900,1575650
1898817,253,189881700,1898818
110361,967,11036100,110362
1329638,118,132963800,1329639
1803709,987,180370900,1803710
1940029,36,194002900,1940030
31695,47,3169500,31696
102597,914,10259700,102598
34826,884,3482600,34827
1428524,728,142852400,1428525
1697809,594,169780900,1697810
1845820,646,184582000,1845821
120314,504,12031400,120315
1258746,222,125874600,1258747
1472250,97,147225000,1472251
555462,172,55546200,555463
1549684,992,154968400,1549685
1778041,311,177804100,1778042
1853427,352,185342700,1853428
591405,351,59140500,591406
1323086,237,132308600,1323087
590138,359,59013800,590139
362896,495,36289600,362897
1549963,741,154996300,1549964
140214,185,14021400,140204
406244,144,40624400,406245
502133,837,50213300,502134
1428007,211,142800700,1428008
1338599,248,133859900,1338600
1901597,471,190159700,1901598
778350,779,77835000,778351
418548,55,41854800,418549
1785480,794,178548000,1785481
681263,226,68126300,681264
1944146,716,194414600,1944147
154178,229,15417800,154179
1163158,995,116315800,1163159
534769,369,53476900,534770
443189,429,44318900,443190
105639,966,10563900,105640
1407457,915,140745700,1407458
931668,507,93166800,931669
1866351,655,186635100,1866352
633673,240,63367300,633674
549350,718,54935000,549351
1338290,696,133829000,1338280
285517,236,28551700,285518
1239208,345,123920800,1239209
1428885,746,142888500,1428886
1863921,801,186392100,1863922
1886322,552,188632200,1886323
1948310,390,194831000,1948311
879731,56,87973100,879732
680153,490,68015300,680154
769380,467,76938000,769381
1043479,183,104347900,1043480
1106805,543,110680500,1106806
1138958,334,113895800,1138959
34476,169,3447600,34477
1588971,499,158897100,1588961
1306000,457,130600000,1306001
1725773,94,172577300,1725774
420685,447,42068500,420686
990987,310,99098700,990988
839092,919,83909200,839093
266183,489,26618300,266184
517502,349,51750200,517503
598455,146,59845500,598445
1511936,80,151193600,1511926
1014008,798,101400800,1014009
406496,736,40649600,406497
174711,12,17471100,174712
1789073,182,178907300,1789074
1567959,299,156795900,1567960
1437026,945,143702600,1437027
433129,62,43312900,433130
356643,239,35664300,356644
1162120,502,116212000,1162121
1528385,576,152838500,1528386
1403175,116,140317500,1403176
138886,93,13888600,138887
1881784,291,188178400,1881785
1367445,78,136744500,1367446
1575468,749,157546800,1575469
377376,444,37737600,377377
142045,726,14204500,142046
1992635,584,199263500,1992636
1587727,875,158772700,1587728
1904636,710,190463600,1904637
550551,777,55055100,550552
1716349,808,171634900,1716350
1265789,378,126578900,1265790
874272,478,87427200,874273
399792,239,39979200,399793
743556,260,74355600,743557
1752961,982,175296100,1752962
1449166,170,144916600,1449167
992271,722,99227100,992261
743018,844,74301800,743019
24956,783,2495600,24957
1237071,555,123707100,1237072
1547056,708,154705600,1547057
1907935,368,190793500,1907936
387074,363,38707400,387075
901103,495,90110300,901104
1822708,368,182270800,1822709
1836505,138,183650500,1836506
694424,918,69442400,694425
1338572,587,133857200,1338573
626076,267,62607600,626077
42089,944,4208900,42090
564424,974,56442400,564425
1207821,448,120782100,1207822
818626,278,81862600,818627
437276,416,43727600,437277
1655325,250,165532500,1655326
1270135,899,127013500,1270136
1320653,373,132065300,1320654
1567299,817,156729900,1567300
175426,775,17542600,175416
1972960,879,197296000,1972961
1437174,338,143717400,1437175
1453914,346,145391400,1453915
1069374,689,106937400,1069375
886250,262,88625000,886251
1743408,20,174340800,1743409
1573798,28,157379800,1573799
420496,529,42049600,420497
621300,371,62130000,621301
130396,627,13039600,130397
1347007,938,134700700,1347008
1358008,842,135800800,1357998
109069,400,10906900,109070
1557287,381,155728700,1557288
1143499,417,114349900,1143500
950750,798,95075000,950751
486656,59,48665600,486657
1779372,350,177937200,1779373
627109,921,62710900,627110
707665,788,70766500,707666
273917,668,27391700,273918
324535,316,32453500,324536
1479144,585,147914400,1479145
27652,548,2765200,27653
1987155,467,198715500,1987156
1555923,130,155592300,1555924
1714826,578,171482600,1714827
420496,529,42049600,420497
453535,542,54325566,326100
