attrInteger,attrInteger,attrInteger,attrInteger
1631130,488,163113000,1631131
915468,884,91546800,915469
131821,63,13182100,131822
836580,512,83658000,836581
332751,794,33275100,332741
544577,506,54457700,544578
975768,228,97576800,975769
1111260,610,111126000,1111261
1137665,906,113766500,1137666
544902,235,54490200,544903
1908399,735,190839900,1908400
1900170,303,190017000,1900171
1836943,826,183694300,1836944
408945,157,40894500,408946
2067,514,206700,2068
474399,784,47439900,474400
612373,344,61237300,612374
1063976,633,106397600,1063977
1582570,820,158257000,1582571
835027,607,83502700,835028
1717172,246,171717200,1717173
1658962,99,165896200,1658963
757430,762,75743000,757431
1266421,43,126642100,1266422
33218,664,3321800,33219
939671,399,93967100,939661
1295570,881,129557000,1295571
1418840,281,141884000,1418841
791860,571,79186000,791861
1595894,393,159589400,1595895
761404,440,76140400,761405
1051607,303,105160700,1051608
270479,57,27047900,270480
934822,82,93482200,934823
729939,590,72993900,729940
1785198,852,178519800,1785199
1726806,735,172680600,1726796
255878,800,25587800,255879
1541907,160,154190700,1541908
478132,267,47813200,478133
1231988,126,123198800,1231989
329208,714,32920800,329209
1213464,634,121346400,1213465
52513,686,5251300,52514
558618,42,55861800,558619
636258,163,63625800,636259
1283066,289,128306600,1283067
655387,559,65538700,655388
28594,926,2859400,28595
898860,603,89886000,898861
1298360,586,129836000,1298361
656729,893,65672900,656730
1699343,786,169934300,1699344
365034,641,36503400,365035
1680994,987,168099400,1680995
1219601,438,121960100,1219602
1226595,797,122659500,1226596
1542924,830,154292400,1542925
1816143,570,181614300,1816144
356529,141,35652900,356530
1642219,661,164221900,1642220
1710990,69,171099000,1710991
868476,126,86847600,868477
1028839,136,102883900,1028840
1365366,439,136536600,1365367
1518459,322,151845900,1518460
305585,480,30558500,305586
1919629,357,191962900,1919630
675700,381,67570000,675701
1255255,701,125525500,1255256
1154729,161,115472900,1154730
44594,84,4459400,44595
1724669,988,172466900,1724659
1581007,589,158100700,1581008
736271,938,73627100,736272
1442351,35,144235100,1442352
1083395,287,108339500,1083396
289844,356,28984400,289845
447096,383,44709600,447097
1644837,692,164483700,1644838
322955,869,32295500,322956
268747,267,26874700,268748
1888547,866,188854700,1888548
1217304,341,121730400,1217305
1540099,515,154009900,1540100
1100547,654,110054700,1100548
1551429,502,155142900,1551430
659032,518,65903200,659033
958994,274,95899400,958995
449710,960,44971000,449711
585758,11,58575800,585759
890726,959,89072600,890727
406875,661,40687500,406876
403859,913,40385900,403860
1064401,615,106440100,1064402
1658322,256,165832200,1658323
1579596,812,157959600,1579597
1735553,867,173555300,1735554
791716,205,79171600,791717
1752365,712,175236500,1752366
1076100,886,107610000,1076101
1594743,8,159474300,1594744
783559,76,78355900,783560
246516,371,24651600,246517
812647,740,81264700,812648
771932,998,77193200,771933
1894816,692,189481600,1894817
1334369,189,133436900,1334370
124797,635,12479700,124798
47566,44,4756600,47567
1483667,228,148366700,1483668
1849033,838,184903300,1849034
533809,289,53380900,533810
305562,365,30556200,305563
1753562,927,175356200,1753563
1800198,209,180019800,1800199
1110743,455,111074300,1110744
1831964,924,183196400,1831965
204664,956,20466400,204665
24923,826,2492300,24924
1125559,971,112555900,1125560
1695543,191,169554300,1695544
1183505,740,118350500,1183506
1630949,53,163094900,1630950
1511654,993,151165400,1511655
1312764,717,131276400,1312765
1739994,536,173999400,1739995
201195,369,20119500,201196
1938240,413,193824000,1938241
874564,484,87456400,874565
544127,373,54412700,544128
592563,60,59256300,592564
142984,855,14298400,142985
806601,685,80660100,806602
759764,470,75976400,759765
171095,639,17109500,171096
1194676,451,119467600,1194677
1827227,858,182722700,1827228
925496,565,92549600,925497
1352161,952,135216100,1352162
11709,397,1170900,11710
1878105,939,187810500,1878106
119113,168,11911300,119114
983406,775,98340600,983407
1113428,829,111342800,1113429
712869,146,71286900,712870
151702,380,15170200,151703
35879,251,3587900,35880
1219485,706,121948500,1219486
1742293,471,174229300,1742294
829315,162,82931500,829316
1620416,110,162041600,1620417
1016988,547,101698800,1016989
1411204,51,141120400,1411205
